Fri, 28 Aug 1998 17:04:39 -0300 (ADT)
File: abs_xsx_H2OH2O_CFT98.txt

These data are (apparently) computed from the fourier smoothed 
data. These data were used to create the actual figures printed
in TGC98. I have never used these data.

    Wavenumber   log(absorption cross-section/10^{-20} cm^2) 
     (cm^{-1}) 
     3.00752   -1.79088
     6.01504   -1.69142
     9.02256   -1.59027
     12.0301   -1.48787
     15.0376   -1.38461
     18.0451   -1.28095
     21.0526   -1.17729
     24.0602   -1.07407
     27.0677  -0.971715
     30.0752  -0.870623
     33.0827  -0.771192
     36.0902  -0.673798
     39.0977  -0.578797
     42.1053  -0.486520
     45.1128  -0.397271
     48.1203  -0.311327
     51.1278  -0.228934
     54.1353  -0.150302
     57.1429   -7.56151E-02
     60.1504   -5.01709E-03
     63.1579    6.13790E-02
     66.1654   0.123496
     69.1729   0.181289
     72.1805   0.234746
     75.1880   0.283886
     78.1955   0.328759
     81.2030   0.369440
     84.2105   0.406035
     87.2180   0.438669
     90.2256   0.467490
     93.2331   0.492665
     96.2406   0.514374
     99.2481   0.532814
    102.2556   0.548189
     105.263   0.560713
     108.271   0.570602
     111.278   0.578077
     114.286   0.583357
     117.293   0.586659
     120.301   0.588194
     123.308   0.588168
     126.316   0.586777
     129.323   0.584208
     132.331   0.580637
     135.338   0.576225
     138.346   0.571124
     141.353   0.565469
     144.361   0.559381
     147.368   0.552969
     150.376   0.546326
     153.383   0.539533
     156.391   0.532654
     159.398   0.525745
     162.406   0.518846
     165.414   0.511987
     168.421   0.505188
     171.429   0.498459
     174.436   0.491802
     177.444   0.485213
     180.451   0.478678
     183.459   0.472182
     186.466   0.465703
     189.474   0.459216
     192.481   0.452696
     195.489   0.446113
     198.496   0.439439
     201.504   0.432644
     204.511   0.425699
     207.519   0.418577
     210.526   0.411252
     213.534   0.403700
     216.541   0.395897
     219.549   0.387823
     222.556   0.379462
     225.564   0.370797
     228.571   0.361816
     231.579   0.352508
     234.586   0.342866
     237.594   0.332883
     240.602   0.322555
     243.609   0.311882
     246.617   0.300863
     249.624   0.289500
     252.632   0.277796
     255.639   0.265757
     258.647   0.253388
     261.654   0.240697
     264.662   0.227693
     267.669   0.214385
     270.677   0.200784
     273.684   0.186900
     276.692   0.172746
     279.699   0.158335
     282.707   0.143681
     285.714   0.128797
     288.722   0.113698
     291.729    9.84003E-02
     294.737    8.29177E-02
     297.744    6.72683E-02
     300.752    5.14672E-02
     303.759    3.55312E-02
     306.767    1.94779E-02
     309.774    3.32205E-03
     312.782   -1.29182E-02
     315.789   -2.92280E-02
     318.797   -4.55899E-02
     321.805   -6.19906E-02
     324.812   -7.84137E-02
     327.820   -9.48461E-02
     330.827  -0.111275
     333.835  -0.127687
     336.842  -0.144072
     339.850  -0.160418
     342.857  -0.176718
     345.865  -0.192961
     348.872  -0.209140
     351.880  -0.225248
     354.887  -0.241278
     357.895  -0.257222
     360.902  -0.273075
     363.910  -0.288828
     366.917  -0.304474
     369.925  -0.320004
     372.932  -0.335406
     375.940  -0.350670
     378.947  -0.365779
     381.955  -0.380716
     384.962  -0.395460
     387.970  -0.409987
     390.977  -0.424270
     393.985  -0.438276
     396.992  -0.451968
     400.000  -0.465307
     403.008  -0.478245
     406.015  -0.490734
     409.023  -0.502719
