98/08/28: Renamed file from abs_xsx_H2OH2O_TGC98.txt to abs_xsx_H2OH2O_Chy98.txt
Hello Charlie:
Here is the dimer cross section. In addition to narrow bands calculations
a broad band absorption would be of interest. We don't have a high
resolution model so we cannot do properly the dimer and monomer overlap.
It would be nice if you could use concentration parameterization from the
manuscript (Chylek, Fu, Tso and Geldart) which I believe I sent you a few
weeks ago. 
The narrow band calculations may be dangereous since the exact position of
the bands is uncertain wihtin a few hundreds of cm-1. The exact positions
depend on the model parameters which cannot be at present determined more
exactly.
Greetings,
Petr
 wave-number   absorption
  (cm^{-1})    cross-secton
               (10^{-20} cm^2)

 3.007518768 0.0000000000E+00
 6.015037537 0.0000000000E+00
 9.022556305 0.5747804791E-01
 12.03007507 0.7174251229E-01
 15.03759384 0.1525915563
 18.04511261 0.1485882103
 21.05263138 0.2091346532
 24.06015015 0.1968493313
 27.06766891 0.2541542649
 30.07518768 0.2544234395
 33.08270645 0.3264049888
 36.09022522 0.3390266597
 39.09774399 0.4237912595
 42.10526276 0.4402100742
 45.11278152 0.5309492350
 48.12030029 0.5458431840
 51.12781906 0.6379312873
 54.13533783 0.6490412354
 57.14285660 0.7395465970
 60.15037537 0.7458622456
 63.15789413 0.8328120708
 66.16541290 0.8340721726
 69.17292786 0.9165736437
 72.18045044 0.9133792520
 75.18797302 0.9920572042
 78.19548798 0.9859780073
 81.20300293 1.063491583
 84.21052551 1.057744384
 87.21804810 1.139508963
 90.22556305 1.140766978
 93.23307800 1.231078863
 96.24060059 1.245878816
 99.24812317 1.355066299
 102.2556381 1.403568387
 105.2631531 1.570255518
 108.2706757 1.689454913
 111.2781982 1.966560602
 114.2857132 2.198209763
 117.2932281 2.678026676
 120.3007507 3.150161743
 123.3082733 3.840059757
 126.3157883 4.024799824
 129.3233032 4.003499985
 132.3308258 3.534144878
 135.3383484 3.230327845
 138.3458557 2.782610893
 141.3533783 2.523874521
 144.3609009 2.194299936
 147.3684235 2.016946316
 150.3759460 1.800299525
 153.3834534 1.704225183
 156.3909760 1.574046612
 159.3984985 1.535557151
 162.4060059 1.457849860
 165.4135284 1.451221585
 168.4210510 1.400233865
 171.4285736 1.407147169
 174.4360962 1.366071701
 177.4436035 1.373963714
 180.4511261 1.332301855
