==Reference Solar Irradiance, Rayleigh Scattering, O2 and O3 Xsection==
=============================WMO, 1985, P355-362=======================
spec.  wavelength     irrad.    ray.scat.  O2 Herz.    xs(cm-2) ozone
inte.  range (nm)   (ph/cm2/s)   xs(cm2)    xs(cm2)   T=203K     T=273K
-----------------------------------------------------------------------
  1   175.4 177.0   1.74e+11   6.79e-25   4.61e-24   8.11e-19  8.11e-19 
  2   177.0 178.6   2.10e+11   6.49e-25   5.03e-24   7.99e-19  7.99e-19 
  3   178.6 180.2   2.38e+11   6.20e-25   5.46e-24   7.86e-19  7.89e-19 
  4   180.2 181.8   3.04e+11   5.93e-25   5.88e-24   7.63e-19  7.63e-19 
  5   181.8 183.5   3.19e+11   5.66e-25   6.29e-24   7.29e-19  7.29e-19 
  6   183.5 185.2   2.93e+11   5.41e-25   6.68e-24   6.88e-19  6.88e-19 
  7   185.2 186.2   3.62e+11   5.16e-25   7.04e-24   6.40e-19  6.40e-19 
  8   186.2 188.7   4.73e+11   4.93e-25   7.36e-24   5.88e-19  5.88e-19 
  9   188.7 190.5   5.61e+11   4.70e-25   7.64e-24   5.31e-19  5.31e-19 
 10   190.5 192.3   6.63e+11   4.49e-25   7.87e-24   4.80e-19  4.80e-19 
 11   192.3 194.2   6.90e+11   4.28e-25   8.04e-24   4.38e-19  4.38e-19 
 12   194.2 196.1   9.56e+11   4.08e-25   8.14e-24   4.11e-19  4.11e-19 
 13   196.1 198.0   1.15e+12   3.89e-25   8.17e-24   3.69e-19  3.69e-19 
 14   198.0 200.0   1.27e+12   3.71e-25   8.13e-24   3.30e-19  3.30e-19 
 15   200.0 202.0   1.52e+12   3.53e-25   8.01e-24   3.26e-19  3.26e-19 
 16   202.0 204.1   1.78e+12   3.36e-25   7.84e-24   3.26e-19  3.26e-19 
 17   204.1 206.2   2.20e+12   3.20e-25   7.63e-24   3.51e-19  3.51e-19 
 18   206.2 208.3   2.69e+12   3.05e-25   7.33e-24   4.11e-19  4.11e-19 
 19   208.3 210.5   4.54e+12   2.90e-25   6.99e-24   4.84e-19  4.84e-19 
 20   210.5 212.8   7.14e+12   2.76e-25   6.45e-24   6.26e-19  6.26e-19 
 21   212.8 215.0   8.35e+12   2.62e-25   5.81e-24   8.57e-19  8.57e-19 
 22   215.0 217.4   8.39e+12   2.49e-25   5.32e-24   1.17e-18  1.17e-18 
 23   217.4 219.8   1.08e+13   2.36e-25   4.71e-24   1.52e-18  1.52e-18 
 24   219.8 222.2   1.18e+13   2.24e-25   4.26e-24   1.97e-18  1.97e-18 
 25   222.2 224.7   1.60e+13   2.13e-25   3.80e-24   2.55e-18  2.55e-18 
 26   224.7 227.3   1.34e+13   2.02e-25   3.35e-24   3.24e-18  3.24e-18 
 27   227.3 229.9   1.41e+13   1.92e-25   2.90e-24   4.00e-18  4.00e-18 
 28   229.9 232.6   1.57e+13   1.82e-25   2.45e-24   4.83e-18  4.83e-18 
 29   232.6 235.3   1.38e+13   1.72e-25   2.05e-24   5.79e-18  5.79e-18 
 30   235.3 238.1   1.60e+13   1.63e-25   1.69e-24   6.86e-18  6.86e-18 
 31   238.1 241.0   1.45e+13   1.54e-25   1.30e-24   7.97e-18  7.97e-18 
 32   241.0 243.9   2.20e+13   1.46e-25   0.93e-24   9.00e-18  9.00e-18 
 33   243.9 246.9   1.99e+13   1.38e-25   0.00e-00   1.00e-17  1.00e-17 
 34   246.9 250.0   1.97e+13   1.31e-25   0.00e-00   1.08e-17  1.08e-17 
 35   250.0 253.2   1.94e+13   1.23e-25   0.00e-00   1.13e-17  1.13e-17 
 36   253.2 256.4   2.91e+13   1.17e-25   0.00e-00   1.15e-17  1.15e-17 
 37   256.4 259.7   4.95e+13   1.10e-25   0.00e-00   1.12e-17  1.12e-17 
 38   259.7 263.2   4.53e+13   1.04e-25   0.00e-00   1.06e-17  1.06e-17 
