This is Bob Kurucz's extraterrestrial solar spectrum, based on
a line-by-line calculation, a theoretical model of the Sun, and
relevant datasets.  It has been averaged to 1 cm-1 resolution.
The wavenumber column value refers to an average over plus and
minus 0.5 cm-1 around that value. The columns are tab-delimited.
97/04/24: CSZ added last line of flux = 49984 cm-1 = 0 Wm-2/cm-1
Wavenumber(cm-1)	SolarSpectrum(Wm-2/cm-1)
51	7.453E-06
52	7.711E-06
53	7.974E-06
54	8.243E-06
55	8.516E-06
56	8.794E-06
57	9.077E-06
58	9.365E-06
59	9.659E-06
60	9.957E-06
61	1.026E-05
62	1.057E-05
63	1.088E-05
64	1.120E-05
65	1.153E-05
66	1.186E-05
67	1.219E-05
68	1.253E-05
69	1.287E-05
70	1.322E-05
71	1.358E-05
72	1.394E-05
73	1.430E-05
74	1.467E-05
75	1.505E-05
76	1.543E-05
77	1.582E-05
78	1.621E-05
79	1.660E-05
80	1.700E-05
81	1.741E-05
82	1.782E-05
83	1.823E-05
84	1.865E-05
85	1.907E-05
86	1.951E-05
87	1.995E-05
88	2.039E-05
89	2.083E-05
90	2.128E-05
91	2.174E-05
92	2.220E-05
93	2.267E-05
94	2.314E-05
95	2.362E-05
96	2.410E-05
97	2.459E-05
98	2.508E-05
99	2.558E-05
100	2.608E-05
101	2.658E-05
102	2.709E-05
103	2.760E-05
104	2.813E-05
105	2.866E-05
106	2.919E-05
107	2.972E-05
108	3.026E-05
109	3.080E-05
110	3.135E-05
111	3.190E-05
112	3.247E-05
113	3.304E-05
114	3.361E-05
115	3.418E-05
116	3.476E-05
117	3.535E-05
118	3.594E-05
119	3.653E-05
120	3.713E-05
121	3.774E-05
122	3.836E-05
123	3.897E-05
124	3.959E-05
125	4.022E-05
126	4.085E-05
127	4.148E-05
128	4.212E-05
129	4.277E-05
130	4.343E-05
131	4.409E-05
132	4.475E-05
133	4.542E-05
134	4.609E-05
135	4.676E-05
136	4.744E-05
137	4.813E-05
138	4.883E-05
139	4.953E-05
140	5.023E-05
141	5.094E-05
142	5.165E-05
143	5.237E-05
144	5.309E-05
145	5.382E-05
146	5.456E-05
147	5.530E-05
148	5.604E-05
149	5.679E-05
150	5.754E-05
151	5.830E-05
152	5.906E-05
153	5.983E-05
154	6.061E-05
155	6.139E-05
156	6.217E-05
157	6.296E-05
158	6.375E-05
159	6.455E-05
160	6.535E-05
161	6.616E-05
162	6.698E-05
163	6.781E-05
164	6.863E-05
165	6.946E-05
166	7.029E-05
167	7.113E-05
168	7.197E-05
169	7.282E-05
170	7.368E-05
171	7.455E-05
172	7.541E-05
173	7.628E-05
174	7.716E-05
175	7.804E-05
176	7.892E-05
177	7.981E-05
178	8.070E-05
179	8.161E-05
180	8.252E-05
181	8.343E-05
182	8.434E-05
183	8.526E-05
184	8.619E-05
185	8.712E-05
186	8.805E-05
187	8.900E-05
188	8.995E-05
189	9.090E-05
190	9.186E-05
191	9.282E-05
192	9.378E-05
193	9.475E-05
194	9.573E-05
195	9.671E-05
196	9.770E-05
197	9.869E-05
198	9.969E-05
199	1.007E-04
200	1.017E-04
201	1.027E-04
202	1.037E-04
203	1.047E-04
204	1.058E-04
205	1.068E-04
206	1.079E-04
207	1.090E-04
208	1.100E-04
209	1.111E-04
210	1.121E-04
211	1.132E-04
212	1.143E-04
213	1.153E-04
214	1.164E-04
215	1.175E-04
216	1.186E-04
217	1.197E-04
218	1.208E-04
219	1.219E-04
220	1.230E-04
221	1.242E-04
222	1.253E-04
223	1.264E-04
224	1.275E-04
225	1.287E-04
226	1.298E-04
227	1.310E-04
228	1.321E-04
229	1.333E-04
230	1.344E-04
231	1.356E-04
232	1.367E-04
233	1.379E-04
234	1.392E-04
235	1.404E-04
236	1.416E-04
237	1.427E-04
238	1.439E-04
239	1.451E-04
240	1.464E-04
241	1.476E-04
242	1.488E-04
243	1.500E-04
244	1.512E-04
245	1.525E-04
246	1.537E-04
247	1.550E-04
248	1.563E-04
249	1.575E-04
250	1.588E-04
251	1.601E-04
252	1.613E-04
253	1.626E-04
254	1.639E-04
255	1.652E-04
256	1.664E-04
257	1.677E-04
258	1.690E-04
259	1.703E-04
260	1.717E-04
261	1.731E-04
262	1.744E-04
263	1.757E-04
264	1.770E-04
265	1.784E-04
266	1.797E-04
267	1.810E-04
268	1.824E-04
269	1.837E-04
270	1.851E-04
271	1.864E-04
272	1.878E-04
273	1.892E-04
274	1.907E-04
275	1.920E-04
276	1.934E-04
277	1.948E-04
278	1.962E-04
279	1.976E-04
280	1.990E-04
281	2.004E-04
282	2.019E-04
283	2.033E-04
284	2.047E-04
285	2.061E-04
286	2.076E-04
287	2.091E-04
288	2.106E-04
289	2.120E-04
290	2.135E-04
291	2.149E-04
292	2.164E-04
293	2.179E-04
294	2.193E-04
295	2.208E-04
296	2.223E-04
297	2.238E-04
298	2.253E-04
299	2.268E-04
300	2.283E-04
301	2.299E-04
302	2.314E-04
303	2.329E-04
304	2.345E-04
305	2.360E-04
306	2.375E-04
307	2.391E-04
308	2.406E-04
309	2.422E-04
310	2.437E-04
311	2.453E-04
312	2.468E-04
313	2.484E-04
314	2.501E-04
315	2.517E-04
316	2.533E-04
317	2.548E-04
318	2.564E-04
319	2.580E-04
320	2.596E-04
321	2.613E-04
322	2.629E-04
323	2.645E-04
324	2.661E-04
325	2.677E-04
326	2.694E-04
327	2.711E-04
328	2.728E-04
329	2.744E-04
330	2.761E-04
331	2.777E-04
332	2.794E-04
333	2.810E-04
334	2.827E-04
335	2.844E-04
336	2.861E-04
337	2.878E-04
338	2.895E-04
339	2.912E-04
340	2.930E-04
341	2.947E-04
342	2.964E-04
343	2.981E-04
344	2.998E-04
345	3.015E-04
346	3.033E-04
347	3.050E-04
348	3.068E-04
349	3.085E-04
350	3.103E-04
351	3.120E-04
352	3.138E-04
353	3.156E-04
354	3.174E-04
355	3.192E-04
356	3.210E-04
357	3.228E-04
358	3.245E-04
359	3.263E-04
360	3.280E-04
361	3.299E-04
362	3.318E-04
363	3.336E-04
364	3.354E-04
365	3.372E-04
366	3.391E-04
367	3.410E-04
368	3.428E-04
369	3.447E-04
370	3.465E-04
371	3.484E-04
372	3.502E-04
373	3.521E-04
374	3.540E-04
375	3.558E-04
376	3.577E-04
377	3.596E-04
378	3.615E-04
