This is Bob Kurucz's extraterrestrial solar spectrum, based on
a line-by-line calculation, a theoretical model of the Sun, and
relevant datasets.  It has been averaged to 20 cm-1 resolution.
The wavenumber column value refers to an average over plus and
minus 10 cm-1 around that value. The columns are tab-delimited.
97/04/24: CSZ added first line of flux = 49980 cm-1 = 0 Wm-2/cm-1
Wavenumber(cm-1)	SolarSpectrum(Wm-2/cm-1)
60.0	0.10195E-04
80.0	0.17285E-04
100.0	0.26410E-04
120.0	0.37520E-04
140.0	0.50650E-04
160.0	0.65850E-04
180.0	0.83050E-04
200.0	0.10230E-03
220.0	0.12365E-03
240.0	0.14705E-03
260.0	0.17245E-03
280.0	0.19980E-03
300.0	0.22920E-03
320.0	0.26055E-03
340.0	0.29385E-03
360.0	0.32915E-03
380.0	0.36635E-03
400.0	0.40555E-03
420.0	0.44670E-03
440.0	0.48980E-03
460.0	0.53500E-03
480.0	0.58200E-03
500.0	0.63100E-03
520.0	0.68150E-03
540.0	0.73450E-03
560.0	0.78950E-03
580.0	0.84600E-03
600.0	0.90450E-03
620.0	0.96450E-03
640.0	0.10270E-02
660.0	0.10910E-02
680.0	0.11565E-02
700.0	0.12245E-02
720.0	0.12940E-02
740.0	0.13660E-02
760.0	0.14385E-02
780.0	0.15140E-02
800.0	0.15905E-02
820.0	0.16695E-02
840.0	0.17500E-02
860.0	0.18325E-02
880.0	0.19160E-02
900.0	0.20025E-02
920.0	0.20900E-02
940.0	0.21795E-02
960.0	0.22705E-02
980.0	0.23635E-02
1000.0	0.24570E-02
1020.0	0.25520E-02
1040.0	0.26510E-02
1060.0	0.27505E-02
1080.0	0.28520E-02
1100.0	0.29540E-02
1120.0	0.30580E-02
1140.0	0.31660E-02
1160.0	0.32745E-02
1180.0	0.33845E-02
1200.0	0.34955E-02
1220.0	0.36080E-02
1240.0	0.37240E-02
1260.0	0.38420E-02
1280.0	0.39600E-02
1300.0	0.40790E-02
1320.0	0.42005E-02
1340.0	0.43125E-02
1360.0	0.44465E-02
1380.0	0.45720E-02
1400.0	0.47015E-02
1420.0	0.48275E-02
1440.0	0.49595E-02
1460.0	0.50900E-02
1480.0	0.52200E-02
1500.0	0.53600E-02
1520.0	0.54950E-02
1540.0	0.56250E-02
1560.0	0.57700E-02
1580.0	0.59000E-02
1600.0	0.60400E-02
1620.0	0.61850E-02
1640.0	0.63150E-02
1660.0	0.64650E-02
1680.0	0.65950E-02
1700.0	0.67250E-02
1720.0	0.68850E-02
1740.0	0.70200E-02
1760.0	0.71650E-02
1780.0	0.72950E-02
1800.0	0.74400E-02
1820.0	0.75850E-02
1840.0	0.77200E-02
1860.0	0.78800E-02
1880.0	0.80200E-02
1900.0	0.81700E-02
1920.0	0.83150E-02
1940.0	0.84750E-02
1960.0	0.86050E-02
1980.0	0.87950E-02
2000.0	0.89300E-02
2020.0	0.90900E-02
2040.0	0.92650E-02
2060.0	0.94150E-02
2080.0	0.95650E-02
2100.0	0.97200E-02
2120.0	0.98700E-02
2140.0	0.99550E-02
2160.0	0.10140E-01
2180.0	0.10255E-01
2200.0	0.10420E-01
2220.0	0.10690E-01
2240.0	0.10825E-01
2260.0	0.10995E-01
2280.0	0.11380E-01
2300.0	0.11605E-01
2320.0	0.11890E-01
2340.0	0.12375E-01
2360.0	0.12565E-01
2380.0	0.12705E-01
2400.0	0.12945E-01
2420.0	0.13160E-01
2440.0	0.13345E-01
2460.0	0.13440E-01
2480.0	0.13715E-01
2500.0	0.13900E-01
2520.0	0.14150E-01
2540.0	0.14390E-01
2560.0	0.14595E-01
2580.0	0.14775E-01
2600.0	0.15020E-01
2620.0	0.15210E-01
2640.0	0.15365E-01
2660.0	0.15525E-01
2680.0	0.15700E-01
2700.0	0.15915E-01
2720.0	0.16250E-01
2740.0	0.16495E-01
2760.0	0.16795E-01
2780.0	0.16990E-01
2800.0	0.17190E-01
2820.0	0.17420E-01
2840.0	0.17670E-01
2860.0	0.17895E-01
2880.0	0.18115E-01
2900.0	0.18355E-01
2920.0	0.18525E-01
2940.0	0.18700E-01
2960.0	0.19000E-01
2980.0	0.19260E-01
3000.0	0.19490E-01
3020.0	0.19610E-01
3040.0	0.19775E-01
3060.0	0.20215E-01
3080.0	0.20450E-01
3100.0	0.20700E-01
3120.0	0.20935E-01
3140.0	0.21200E-01
3160.0	0.21410E-01
3180.0	0.21630E-01
3200.0	0.21855E-01
3220.0	0.22120E-01
3240.0	0.22390E-01
3260.0	0.22630E-01
3280.0	0.22770E-01
3300.0	0.23030E-01
3320.0	0.23410E-01
3340.0	0.23615E-01
3360.0	0.23925E-01
3380.0	0.24165E-01
3400.0	0.24375E-01
3420.0	0.24610E-01
3440.0	0.24915E-01
3460.0	0.25155E-01
3480.0	0.25190E-01
3500.0	0.25655E-01
3520.0	0.25920E-01
3540.0	0.26190E-01
3560.0	0.26440E-01
3580.0	0.26715E-01
3600.0	0.26865E-01
3620.0	0.26950E-01
3640.0	0.27455E-01
3660.0	0.27665E-01
3680.0	0.27940E-01
3700.0	0.28200E-01
3720.0	0.28460E-01
