--------------------------------------
 mls 133 level ccm2
--------------------------------------
180.554993	day of year
0.000000	latitude
level p(mb) t(k) h2ommr(g/g) o3mmr(g/g) cldcvr cldlwp(g/m2)
 133 9.2900e-02 2.2810e+02 3.2500e-06 1.9090e-06 0.0000e+00 0.0000e+00
 132 1.4720e-01 2.3705e+02 3.2500e-06 2.5810e-06 0.0000e+00 0.0000e+00
 131 2.7200e-01 2.4953e+02 3.2500e-06 3.2100e-06 0.0000e+00 0.0000e+00
 130 3.6980e-01 2.5600e+02 3.2500e-06 3.4510e-06 0.0000e+00 0.0000e+00
 129 5.0270e-01 2.6264e+02 3.2500e-06 3.6590e-06 0.0000e+00 0.0000e+00
 128 7.9670e-01 2.7006e+02 3.2500e-06 3.8900e-06 0.0000e+00 0.0000e+00
 127 1.0830e+00 2.6820e+02 3.2500e-06 4.9730e-06 0.0000e+00 0.0000e+00
 126 1.4721e+00 2.6557e+02 3.2500e-06 6.0040e-06 0.0000e+00 0.0000e+00
 125 2.0011e+00 2.6110e+02 3.2500e-06 7.8090e-06 0.0000e+00 0.0000e+00
 124 3.1716e+00 2.5339e+02 3.2500e-06 9.8750e-06 0.0000e+00 0.0000e+00
 123 4.3113e+00 2.4837e+02 3.2500e-06 1.0380e-05 0.0000e+00 0.0000e+00
 122 5.8606e+00 2.4346e+02 3.2500e-06 1.0720e-05 0.0000e+00 0.0000e+00
 121 7.9667e+00 2.3864e+02 3.2500e-06 1.1940e-05 0.0000e+00 0.0000e+00
 120 1.2626e+01 2.3160e+02 3.2500e-06 1.2760e-05 0.0000e+00 0.0000e+00
 119 1.7164e+01 2.2703e+02 3.2500e-06 1.0520e-05 0.0000e+00 0.0000e+00
 118 2.3332e+01 2.2255e+02 3.2500e-06 8.8380e-06 0.0000e+00 0.0000e+00
 117 3.6978e+01 2.1599e+02 3.2500e-06 5.1560e-06 0.0000e+00 0.0000e+00
 116 5.0266e+01 2.1025e+02 3.2500e-06 2.7350e-06 0.0000e+00 0.0000e+00
 115 6.8330e+01 2.0281e+02 3.2500e-06 1.1450e-06 0.0000e+00 0.0000e+00
 114 9.2885e+01 1.9575e+02 3.2500e-06 4.2830e-07 0.0000e+00 0.0000e+00
 113 1.0603e+02 1.9609e+02 6.0301e-06 3.0053e-07 1.0000e+00 8.7141e-08
 112 1.0717e+02 1.9629e+02 6.1601e-06 2.9289e-07 1.0000e+00 1.6766e-07
 111 1.0833e+02 1.9652e+02 6.2910e-06 2.8564e-07 1.0000e+00 3.4462e-07
 110 1.0950e+02 1.9677e+02 6.6393e-06 2.7876e-07 1.0000e+00 6.4686e-07
 109 1.1068e+02 1.9704e+02 7.2808e-06 2.7227e-07 1.0000e+00 2.7120e-06
 108 1.1187e+02 1.9729e+02 7.8073e-06 2.6614e-07 1.0000e+00 1.8191e-05
 107 1.1308e+02 1.9758e+02 8.5293e-06 2.6036e-07 1.0000e+00 1.8219e-05
 106 1.1429e+02 1.9790e+02 8.4534e-06 2.5493e-07 1.0000e+00 1.8235e-05
 105 1.1552e+02 1.9824e+02 8.3789e-06 2.4984e-07 1.0000e+00 1.5101e-05
 104 1.1677e+02 1.9861e+02 8.1656e-06 2.4506e-07 1.0000e+00 3.1243e-05
 103 1.1802e+02 1.9899e+02 7.9030e-06 2.4059e-07 1.0000e+00 7.2245e-03
 102 1.1929e+02 1.9940e+02 7.8353e-06 2.3640e-07 1.0000e+00 6.6422e-02
 101 1.2057e+02 1.9979e+02 7.7824e-06 2.3249e-07 1.0000e+00 1.8692e-01
 100 1.2187e+02 2.0021e+02 8.3505e-06 2.2882e-07 1.0000e+00 4.4183e-01
 99 1.2317e+02 2.0063e+02 8.8108e-06 2.2539e-07 1.0000e+00 5.1161e-01
 98 1.2449e+02 2.0106e+02 9.3171e-06 2.2216e-07 1.0000e+00 5.6992e-01
 97 1.2583e+02 2.0149e+02 9.8383e-06 2.1911e-07 1.0000e+00 6.3176e-01
 96 1.2717e+02 2.0192e+02 1.0390e-05 2.1621e-07 1.0000e+00 6.8305e-01
 95 1.2853e+02 2.0235e+02 1.0968e-05 2.1345e-07 1.0000e+00 7.4153e-01
 94 1.2991e+02 2.0278e+02 1.1562e-05 2.1078e-07 1.0000e+00 7.8580e-01
 93 1.3129e+02 2.0319e+02 1.2180e-05 2.0818e-07 1.0000e+00 8.4107e-01
 92 1.3269e+02 2.0361e+02 1.2822e-05 2.0564e-07 1.0000e+00 8.9900e-01
 91 1.3410e+02 2.0402e+02 1.3486e-05 2.0317e-07 1.0000e+00 9.4239e-01
 90 1.3553e+02 2.0443e+02 1.4179e-05 2.0076e-07 1.0000e+00 9.9020e-01
 89 1.3697e+02 2.0484e+02 1.4901e-05 1.9841e-07 1.0000e+00 1.0589e+00
 88 1.3842e+02 2.0525e+02 1.5652e-05 1.9612e-07 1.0000e+00 1.1262e+00
 87 1.3989e+02 2.0566e+02 1.6434e-05 1.9390e-07 1.0000e+00 1.1862e+00
 86 1.4137e+02 2.0607e+02 1.7250e-05 1.9173e-07 1.0000e+00 1.2463e+00
 85 1.4287e+02 2.0647e+02 1.8105e-05 1.8962e-07 1.0000e+00 1.3168e+00
