8
w is in cm/s, r is in microns, iwp is in g/m^2, kappa in m^2/g, sigma in km^-1, 
w	rRAD	rNORAD	iwpRAD  iwpNORAD weight	kappa	sigma	epsilon
0.	22.3	24.8	5.1	7.1	3.	.0676	.4038	.4344
2.5	28.0	30.0	13.0	16.4	3.	.0544	.5257	.6921
5.	33.0	34.6	27.9	32.8	3.	.0460	.5133	.8812
10.	40.8	42.0	67.0	74.3	3.	.0371	.8587	.9840
20.	48.2	49.0	147.2	156.4	3.	.0312	1.4561	.9995
50.	54.3	54.2	348.7	355.7	1.	0.	0.	0.
75.	54.0	53.5	458.4	462.5	1.	0.	0.	0.
100.	50.6	49.8	524.0	526.0	1.	0.	0.	0.
#data from tau_ccn=20. s

