
  Data: Imaginary indices of refraction for water and ice in
  the 0.67 to 2.5 micron range. 

  Reference: L. Kou, D. Labrie, and P. Chylek, Refractive indices of 
  water and ice in the 0.65 to 2.5 micron range, Applied Optics,
  vol. 32, pgs. 3531-3540, 1993.

  Format: wavenumber (cm-1), wavelength (microns), imaginary index
  of refraction, error (percent)
  147 values from  4000 to  6920 cm-1 (2x,f6.0,1x,f6.4,3(4x,e10.3,1x,f4.1))
  at 22 and -8 C for water, and at -25 C for ice.
  186 values from  6940 to 10640 cm-1 (2x,f6.0,1x,f6.4,2(4x,e10.3,1x,f4.1))
  at 22 and -8 C for water.
  218 values from 10660 to 15000 cm-1 (2x,f6.0,1x,f6.4,1(4x,e10.3,1x,f4.1))
  at 22 C for water.


 		    Water              Water              ICE 
		    22 C               -8 C               -25 C
   cm-1  microns    imaginary  error   imaginary  error   imaginary  error   

   4000. 2.5000     2.000E-03  3.6     1.760E-03  4.3     8.040E-04  6.0
   4020. 2.4876     1.870E-03  3.3     1.680E-03  4.1     7.720E-04  4.7
   4040. 2.4752     1.710E-03  3.9     1.560E-03  4.3     7.440E-04  3.8
   4060. 2.4631     1.560E-03  3.1     1.420E-03  3.8     7.200E-04  3.8
   4080. 2.4510     1.400E-03  2.0     1.250E-03  3.0     6.910E-04  3.0
   4100. 2.4390     1.270E-03  1.4     1.170E-03  2.3     6.610E-04  2.1
   4120. 2.4272     1.170E-03  1.4     1.080E-03  2.2     6.400E-04  2.0
   4140. 2.4155     1.070E-03  1.4     9.940E-04  1.8     6.210E-04  1.9
   4160. 2.4038     9.840E-04  1.2     9.200E-04  1.5     5.990E-04  1.6
   4180. 2.3923     9.050E-04  1.0     8.500E-04  1.5     5.770E-04  1.5
   4200. 2.3810     8.350E-04   .8     7.810E-04  1.3     5.540E-04  1.3
   4220. 2.3697     7.700E-04   .9     7.310E-04  1.2     5.270E-04  1.4
   4240. 2.3585     7.110E-04   .9     6.730E-04  1.1     4.970E-04  1.5
   4260. 2.3474     6.750E-04  1.0     6.190E-04  1.2     4.610E-04  1.7
   4280. 2.3364     6.070E-04   .9     5.700E-04  1.3     4.200E-04  1.8
   4300. 2.3256     5.640E-04  1.0     5.310E-04  1.3     3.810E-04  2.1
   4320. 2.3148     5.240E-04   .9     4.900E-04  1.3     3.400E-04  2.3
   4340. 2.3041     4.890E-04   .8     4.550E-04  1.5     3.030E-04  2.7
   4360. 2.2936     4.600E-04  1.0     4.260E-04  1.4     2.720E-04  3.3
   4380. 2.2831     4.340E-04  1.1     4.010E-04  1.4     2.460E-04  3.6
   4400. 2.2727     4.120E-04  1.1     3.800E-04  1.7     2.280E-04  3.9
   4420. 2.2624     3.950E-04  1.0     3.630E-04  1.3     2.160E-04  4.1
   4440. 2.2523     3.800E-04  1.2     3.480E-04  2.1     2.100E-04  4.3
   4460. 2.2422     3.700E-04  1.1     3.450E-04  1.7     2.120E-04  4.3
   4480. 2.2321     3.620E-04  1.2     3.430E-04  1.7     2.170E-04  4.3
   4500. 2.2222     3.560E-04  1.1     3.370E-04  1.7     2.270E-04  4.2
   4520. 2.2124     3.530E-04  1.2     3.350E-04  1.6     2.380E-04  3.9
   4540. 2.2026     3.530E-04  1.3     3.410E-04  1.8     2.540E-04  3.7
   4560. 2.1930     3.540E-04  1.3     3.430E-04  1.7     2.710E-04  3.4
   4580. 2.1834     3.590E-04  1.0     3.520E-04  1.3     2.930E-04  3.1
   4600. 2.1739     3.640E-04  1.0     3.610E-04  1.5     3.170E-04  3.0
   4620. 2.1645     3.730E-04  1.0     3.720E-04  1.2     3.480E-04  2.7
   4640. 2.1552     3.830E-04   .9     3.890E-04  1.6     3.830E-04  2.4
   4660. 2.1459     3.960E-04  1.0     4.080E-04  1.4     4.280E-04  2.2
   4680. 2.1368     4.130E-04  1.0     4.310E-04  1.4     4.850E-04  2.0
   4700. 2.1277     4.320E-04  1.0     4.580E-04  1.2     5.500E-04  1.8
   4720. 2.1186     4.540E-04  1.1     4.870E-04  1.1     6.280E-04  1.6
   4740. 2.1097     4.800E-04  1.2     5.230E-04  1.4     7.190E-04  1.6
   4760. 2.1008     5.090E-04  1.1     5.610E-04  1.3     8.200E-04  1.5
   4780. 2.0921     5.430E-04  1.3     6.030E-04  1.4     9.300E-04  1.2
   4800. 2.0833     5.800E-04  1.3     6.470E-04  1.4     1.020E-03  3.3
   4820. 2.0747     6.200E-04  1.5     7.000E-04  1.5     1.130E-03  3.0
