                                                                        
  Data: Real and imaginary indices of refraction of sulfuric acid       
  solutions at 75 and 90% H2SO4, by weight, plus the standard       
  deviations of the measurements.                  
        Real and imaginary indices of refraction of nitric acid       
  solutions at 68% HNO3, by weight, plus the standard       
  deviations of the measurements.                  
                                                                        
  Reference: E. E. Remsberg, D. Lavery, and B. Crawford, Optical        
  constants for sulfuric and nitric acids, J. Chem. and Engin. Data,    
  vol.19, pgs. 263-255, 1974.                                           
                                                                        
  Format: wavenumber(cm-1), wavelength(microns), imaginary index,       
  imaginary index standard deviation, real index, real index standard   
  deviation, correlation coefficient.
  184 lines at 75% H2SO4                                                
  211 lines at 90% H2SO4                                                
   44 lines at 68% HNO3                                                
  2x,f6.1,2x,f6.3,5(2x,f6.4)                                            
                                                                        
   OPTICAL CONSTANTS FOR 75% AQUEOUS H2SO4                                 
   cm-1    microns    k     sk     n        sn      rho                     
  1571.0   6.365   .1435   .0051  1.3957   .0072  -.6634
  1567.8   6.378   .1423   .0051  1.3927   .0072  -.6672
  1551.6   6.445   .1403   .0051  1.3870   .0072  -.6749
  1555.4   6.429   .1379   .0051  1.3828   .0072  -.6808
  1549.2   6.455   .1373   .0051  1.3773   .0072  -.6887
  1543.2   6.480   .1362   .0051  1.3717   .0073  -.6967
  1537.2   6.505   .1367   .0051  1.3665   .0073  -.7031
  1531.3   6.530   .1351   .0051  1.3629   .0074  -.7082
  1525.5   6.555   .1343   .0051  1.3588   .0074  -.7135
  1519.7   6.580   .1325   .0050  1.3556   .0075  -.7185
  1514.0   6.605   .1320   .0050  1.3513   .0075  -.7234
  1508.3   6.630   .1333   .0051  1.3454   .0076  -.7273
  1502.8   6.654   .1352   .0051  1.3391   .0076  -.7312
  1497.3   6.679   .1363   .0051  1.3346   .0077  -.7338
  1491.8   6.703   .1350   .0051  1.3316   .0077  -.7370
  1486.4   6.728   .1360   .0051  1.3270   .0078  -.7388
  1481.1   6.752   .1359   .0051  1.3219   .0078  -.7412
  1475.8   6.776   .1376   .0051  1.3161   .0078  -.7412
  1470.6   6.800   .1391   .0051  1.3100   .0078  -.7405
  1465.4   6.824   .1426   .0051  1.3034   .0078  -.7367
  1460.3   6.848   .1413   .0051  1.3007   .0078  -.7373
  1455.2   6.872   .1431   .0051  1.2955   .0078  -.7341
  1450.2   6.896   .1437   .0051  1.2911   .0078  -.7317
  1445.3   6.919   .1460   .0050  1.2846   .0077  -.7262
  1440.4   6.943   .1450   .0050  1.2819   .0077  -.7252
  1435.5   6.966   .1470   .0049  1.2707   .0074  -.6727
  1430.7   6.990   .1504   .0049  1.2632   .0073  -.6637
  1426.0   7.013   .1528   .0049  1.2573   .0072  -.6569
  1421.3   7.036   .1542   .0049  1.2518   .0071  -.6519
  1416.6   7.059   .1594   .0050  1.2429   .0070  -.6436
  1412.0   7.082   .1647   .0050  1.2344   .0069  -.6371
  1407.4   7.105   .1676   .0051  1.2305   .0069  -.6350
  1402.9   7.128   .1705   .0051  1.2260   .0068  -.6338
  1389.6   7.196   .1833   .0054  1.2069   .0068  -.6340
  1378.8   7.253   .1953   .0056  1.1897   .0068  -.6444
  1368.3   7.308   .2077   .0060  1.1759   .0069  -.6582
  1358.0   7.364   .2277   .0064  1.1523   .0078  -.5946
  1347.9   7.419   .2492   .0070  1.1347   .0082  -.6355
  1338.1   7.473   .2771   .0078  1.1201   .0087  -.6702
  1328.4   7.528   .3144   .0088  1.1093   .0092  -.6991
  1319.0   7.582   .3486   .0098  1.1006   .0096  -.7197
  1309.8   7.635   .3806   .0106  1.1048   .0099  -.7264
  1300.8   7.688   .4095   .0113  1.1086   .0101  -.7321
  1291.9   7.741   .4312   .0118  1.1186   .0103  -.7320
  1283.3   7.792   .4496   .0122  1.1306   .0104  -.7306
  1274.8   7.844   .4804   .0132  1.1206   .0106  -.7413
  1266.5   7.896   .4880   .0132  1.1384   .0106  -.7354
  1258.3   7.947   .5189   .0142  1.1294   .0108  -.7429
  1250.4   7.997   .5448   .0149  1.1339   .0109  -.7440
  1242.5   8.048   .5772   .0158  1.1432   .0110  -.7420
  1234.8   8.098   .6109   .0167  1.1528   .0111  -.7399
  1227.3   8.148   .6290   .0170  1.1756   .0111  -.7321
  1219.9   8.197   .6546   .0175  1.1850   .0122  -.7096
  1212.6   8.247   .6781   .0179  1.2126   .0123  -.7062
  1205.5   8.295   .7157   .0188  1.2295   .0124  -.7062
  1198.5   8.344   .7268   .0190  1.2559   .0126  -.7041
  1194.3   8.373   .7361   .0191  1.2749   .0126  -.7036
  1190.2   8.402   .7467   .0194  1.2907   .0127  -.7040
  1186.2   8.575   .7455   .0193  1.3115   .0129  -.7044
  1182.1   8.460   .7505   .0194  1.3325   .0130  -.7056
  1178.2   8.488   .7769   .0202  1.3418   .0131  -.7053
  1174.2   8.516   .7786   .0203  1.3656   .0132  -.7074
  1170.3   8.545   .7922   .0207  1.3865   .0134  -.7084
  1166.5   8.573   .8032   .0211  1.4002   .0135  -.7085
  1162.7   8.601   .7927   .0208  1.4254   .0137  -.7134
  1158.9   8.629   .7982   .0210  1.4396   .0138  -.7141
  1155.1   8.657   .7949   .0210  1.4615   .0140  -.7186
  1151.4   8.685   .7913   .0211  1.4864   .0142  -.7239
  1147.8   8.712   .7986   .0214  1.5021   .0143  -.7253
  1144.1   8.740   .7897   .0214  1.5251   .0146  -.7315
  1140.5   8.768   .7782   .0213  1.5495   .0148  -.7389
  1137.0   8.795   .7729   .0213  1.5647   .0150  -.7432
  1133.5   8.822   .7545   .0201  1.5804   .0157  -.7477
  1130.0   8.850   .7403   .0198  1.5959   .0159  -.7526
  1126.5   8.877   .7383   .0198  1.5949   .0159  -.7526
  1123.1   8.904   .7264   .0195  1.6056   .0160  -.7561
  1119.7   8.931   .7038   .0190  1.6201   .0162  -.7617
  1116.3   8.958   .6915   .0187  1.6254   .0163  -.7640
  1113.0   8.985   .6772   .0183  1.6327   .0165  -.7671
  1109.7   9.011   .6682   .0181  1.6318   .0165  -.7671
  1106.4   9.038   .6564   .0177  1.6285   .0164  -.7660
  1103.1   9.065   .6376   .0171  1.6239   .0163  -.7641
  1096.7   9.118   .6280   .0167  1.6084   .0161  -.7574
  1092.5   9.153   .6157   .0162  1.5973   .0159  -.7519
  1088.4   9.188   .6141   .0161  1.5894   .0157  -.7484
  1084.3   9.223   .6207   .0161  1.5704   .0154  -.7413
  1080.2   9.258   .6349   .0164  1.5549   .0152  -.7371
  1076.2   9.292   .6446   .0167  1.5565   .0153  -.7387
  1072.2   9.327   .6678   .0174  1.5603   .0154  -.7420
  1068.4   9.360   .7149   .0210  1.5604   .0158  -.7993
  1064.4   9.395   .7299   .0213  1.5804   .0159  -.7957
  1060.6   9.429   .7599   .0222  1.5996   .0160  -.7921
  1056.7   9.463   .7804   .0228  1.6232   .0161  -.7883
  1053.0   9.497   .7937   .0232  1.6455   .0161  -.7853
  1049.2   9.531   .7997   .0234  1.6854   .0163  -.7828
  1045.5   9.565   .7954   .0233  1.7240   .0165  -.7827
  1041.8   9.599   .7814   .0230  1.7606   .0168  -.7854
  1038.2   9.632   .7843   .0232  1.7760   .0169  -.7859
  1034.6   9.666   .7564   .0225  1.8078   .0172  -.7921
  1031.1   9.698   .7330   .0220  1.8394   .0175  -.7986
  1027.6   9.731   .7127   .0215  1.8548   .0177  -.8034
  1024.1   9.765   .6593   .0201  1.8781   .0181  -.8139
  1020.7   9.797   .6371   .0195  1.8884   .0182  -.8185
  1017.3   9.830   .6218   .0189  1.8742   .0180  -.8169
  1013.9   9.863   .5851   .0180  1.8945   .0184  -.8251
  1010.6   9.895   .5639   .0172  1.8870   .0182  -.8245
  1007.3   9.928   .5359   .0163  1.8835   .0182  -.8248
  1004.0   9.960   .5268   .0148  1.8715   .0163  -.8205
  1000.8   9.992   .5024   .0139  1.8646   .0160  -.8159
   999.2  10.008   .4932   .0136  1.8608   .0159  -.8136
   995.2  10.048   .4735   .0129  1.8512   .0155  -.8080
   991.3  10.088   .4565   .0124  1.8432   .0152  -.8024
   987.4  10.128   .4449   .0120  1.8333   .0149  -.7979
   983.6  10.167   .4311   .0115  1.8212   .0146  -.7919
   979.8  10.206   .4260   .0114  1.8058   .0143  -.7888
   976.0  10.246   .4172   .0111  1.7963   .0141  -.7853
   972.3  10.285   .4155   .0115  1.7757   .0146  -.7845
   968.7  10.323   .4048   .0112  1.7699   .0143  -.7798
   965.1  10.362   .4064   .0111  1.7583   .0142  -.7763
   961.5  10.400   .3980   .0109  1.7563   .0140  -.7732
   958.0  10.438   .3975   .0108  1.7484   .0139  -.7706
   954.5  10.477   .3928   .0106  1.7405   .0137  -.7667
   951.0  10.515   .3893   .0105  1.7347   .0136  -.7640
   947.6  10.553   .3806   .0102  1.7293   .0134  -.7590
   944.2  10.591   .3844   .0103  1.7119   .0132  -.7572
   940.9  10.628   .3758   .0101  1.7063   .0130  -.7527
   937.6  10.666   .3906   .0105  1.6872   .0130  -.7575
   934.3  10.703   .4002   .0108  1.6677   .0130  -.7618
   931.1  10.740   .4017   .0108  1.6622   .0130  -.7628
   927.9  10.777   .4234   .0115  1.6481   .0133  -.7721
   924.8  10.813   .4497   .0122  1.6314   .0137  -.7760
   921.6  10.851   .4755   .0130  1.6286   .0140  -.7835
   918.5  10.887   .4902   .0134  1.6350   .0142  -.7862
   915.5  10.923   .5162   .0142  1.6370   .0145  -.7911
   912.4  10.960   .5446   .0151  1.6469   .0148  -.7953
   909.4  10.996   .5596   .0155  1.6648   .0150  -.7961
   906.5  11.031   .5813   .0162  1.6832   .0153  -.7980
   903.5  11.068   .5907   .0166  1.7158   .0156  -.7998
   900.6  11.104   .5960   .0168  1.7405   .0158  -.8019
   900.0  11.111   .5974   .0169  1.7434   .0158  -.8021
   896.6  11.153   .5900   .0168  1.7808   .0161  -.8059
   893.2  11.196   .5817   .0168  1.8113   .0164  -.8103
   889.8  11.238   .5654   .0165  1.8431   .0168  -.8163
   886.5  11.280   .5592   .0164  1.8502   .0168  -.8179
   883.2  11.322   .5253   .0156  1.8722   .0171  -.8239
   880.0  11.364   .4800   .0146  1.8950   .0174  -.8317
   876.7  11.406   .4699   .0142  1.8865   .0172  -.8296
   873.6  11.447   .4489   .0133  1.8745   .0153  -.8141
   870.4  11.489   .4277   .0127  1.8714   .0152  -.8153
   867.3  11.530   .3981   .0120  1.8752   .0152  -.8182
   864.2  11.571   .3775   .0114  1.8626   .0150  -.8161
   861.2  11.612   .3597   .0108  1.8561   .0149  -.8144
   858.2  11.652   .3243   .0099  1.8539   .0147  -.8130
   855.2  11.693   .3331   .0099  1.8396   .0145  -.8070
   852.3  11.733   .3370   .0099  1.8240   .0142  -.8000
   849.4  11.773   .3064   .0460  1.8204   .0063   .7758
   846.5  11.813   .2900   .0418  1.8149   .0045   .5743
   843.6  11.854   .3061   .0451  1.8051   .0045   .5050
   842.2  11.874   .3156   .0473  1.8044   .0049   .5939
   840.8  11.893   .3248   .0491  1.8014   .0052   .6259
   839.4  11.913   .3117   .0502  1.8040   .0050   .6276
   838.0  11.933   .3227   .0531  1.7996   .0052   .6364
   836.6  11.953   .3163   .0510  1.7954   .0043   .4678
   835.2  11.973   .2982   .0462  1.7909   .0036  -.0564
   833.8  11.993   .3001   .0466  1.7858   .0037  -.2651
   832.5  12.012   .2959   .0454  1.7837   .0038  -.4014
   831.1  12.032   .2804   .0414  1.7822   .0043  -.6475
   829.7  12.053   .2648   .0375  1.7799   .0050  -.7959
   828.4  12.071   .2617   .0367  1.7758   .0056  -.8450
   827.0  12.092   .2632   .0370  1.7719   .0060  -.8638
   825.7  12.111   .2681   .0381  1.7679   .0062  -.8722
   824.4  12.130   .2598   .0361  1.7663   .0067  -.8992
   823.1  12.149   .2589   .0358  1.7629   .0071  -.9119
   818.3  12.220   .2565   .0353  1.7517   .0085  -.9413
   809.8  12.349   .2468   .0266  1.7351   .0081  -.9366
   801.6  12.475   .2480   .0267  1.7194   .0093  -.9531
   793.6  12.601   .2423   .0255  1.7086   .0101  -.9622
   785.9  12.724   .2397   .0251  1.6951   .0112  -.9697
