
  Data: Sulfuric acid density (gm/cm**3) values for solutions between
  0 and 100% H2SO4 (by weight) for temperatures between 0 and 60 C.

  Reference: J. Timmermans, The physico-chemical constants of binary 
  systems in concentrated solutions, Interscience, New York, 1960.
  The data cited here (from pages 561-562 of Timmermans) are from Domke
  and Bein (1905).
  
  Format: Sulfuric acid density (gm/cm**3) values for H2SO4 concentrations
  (by weight) between 0 and 100%, for temperatures between 0 and 60C.
  101 lines for the  0 to 20 C range, (2x,f4.0,2x,5(2x,f7.5))
  101 lines for the 25 to 60 C range, (2x,f4.0,2x,5(2x,f7.5))


	  0 C	   5 C	    10 C     15 C     20 C  
    0.    0.99987  1.00000  0.99973  0.99913  0.99823
    1.    1.00745  1.00730  1.00685  1.00610  1.00506
    2.    1.01475  1.01440  1.01378  1.01293  1.01178
    3.    1.02192  1.02140  1.02064  1.01966  1.01839
    4.    1.02911  1.02840  1.02751  1.02638  1.02500
    5.    1.03638  1.03550  1.03442  1.03316  1.03168
    6.    1.04370  1.04260  1.04141  1.04001  1.03843
    7.    1.05107  1.04980  1.04841  1.04695  1.04527
    8.    1.05850  1.05710  1.05560  1.05394  1.05216
    9.    1.06596  1.06440  1.06277  1.06100  1.05910
   10.    1.07365  1.07180  1.07000  1.06810  1.06609
   11.    1.08100  1.07920  1.07727  1.07525  1.07314
   12.    1.08859  1.08660  1.08460  1.08247  1.08026
   13.    1.09622  1.09420  1.09199  1.08976  1.08744
   14.    1.10391  1.10170  1.09944  1.09709  1.09468
   15.    1.11164  1.10930  1.10693  1.10450  1.10199
   16.    1.11942  1.11700  1.11450  1.11195  1.10936
   17.    1.12724  1.12470  1.12211  1.11947  1.11879
   18.    1.13511  1.13250  1.12977  1.12794  1.12428
   19.    1.14302  1.14030  1.13749  1.13467  1.13183
   20.    1.15098  1.14810  1.14525  1.14235  1.13943
   21.    1.15897  1.15600  1.15306  1.15008  1.14709
   22.    1.16701  1.16400  1.16092  1.15787  1.15480
   23.    1.17508  1.17200  1.16884  1.16571  1.16257
   24.    1.18320  1.18000  1.17681  1.17361  1.17041
   25.    1.19136  1.18810  1.18482  1.18157  1.17830
   26.    1.19956  1.19620  1.19289  1.18956  1.18624
   27.    1.20779  1.20440  1.20099  1.19760  1.19422
   28.    1.21603  1.21260  1.20913  1.20559  1.20227
   29.    1.22432  1.22080  1.21731  1.21383  1.21036
   30.    1.23262  1.22910  1.22554  1.22201  1.21870
   31.    1.24095  1.23740  1.23379  1.23023  1.22669
   32.    1.24928  1.24570  1.24207  1.23849  1.23492
   33.    1.25768  1.25410  1.25041  1.24680  1.24320
   34.    1.26612  1.26250  1.25880  1.25516  1.25153
   35.    1.27459  1.27090  1.26723  1.26357  1.25991
   36.    1.28311  1.27940  1.27571  1.27202  1.26836
   37.    1.29170  1.28800  1.28452  1.28052  1.27685
   38.    1.30035  1.29660  1.29287  1.28914  1.28542
   39.    1.30907  1.30530  1.30154  1.29780  1.29406
   40.    1.31785  1.31410  1.31029  1.30656  1.30278
   41.    1.32672  1.32290  1.31911  1.31533  1.31156
   42.    1.33516  1.33180  1.32800  1.32421  1.32042
   43.    1.34469  1.34080  1.33700  1.33318  1.32937
   44.    1.35383  1.35000  1.34610  1.34225  1.33843
   45.    1.36306  1.35920  1.35528  1.35143  1.34759
   46.    1.37241  1.36850  1.36460  1.36072  1.35686
   47.    1.38187  1.37790  1.37402  1.37012  1.36625
   48.    1.39146  1.38750  1.38355  1.37964  1.37574
   49.    1.40116  1.39720  1.39319  1.38926  1.38533
   50.    1.41096  1.40700  1.40296  1.39899  1.39505
   51.    1.42090  1.41690  1.41284  1.40884  1.40488
   52.    1.43095  1.42690  1.42284  1.41881  1.41482
   53.    1.44114  1.43700  1.43295  1.42890  1.42487
   54.    1.45143  1.44730  1.44317  1.43909  1.43503
   55.    1.46184  1.45770  1.45351  1.44939  1.44530
   56.    1.47246  1.46820  1.46396  1.45980  1.45568
   57.    1.48298  1.47870  1.47450  1.47031  1.46616
   58.    1.49369  1.48940  1.48514  1.48092  1.47674
   59.    1.50453  1.50020  1.49589  1.49163  1.48741
   60.    1.51544  1.51110  1.50673  1.50244  1.49819
   61.    1.52616  1.52200  1.51767  1.51334  1.50905
   62.    1.53755  1.53310  1.52869  1.52432  1.52000
   63.    1.54873  1.54420  1.53979  1.53539  1.53103
   64.    1.56000  1.55550  1.55098  1.54654  1.54214
   65.    1.57133  1.56680  1.56224  1.55777  1.55334
   66.    1.58276  1.57820  1.57359  1.56908  1.56461
   67.    1.59426  1.58960  1.58502  1.58047  1.57596
   68.    1.60584  1.60120  1.59653  1.59294  1.58740
   69.    1.61751  1.61280  1.60811  1.60348  1.59891
   70.    1.62926  1.62450  1.61977  1.61510  1.61049
   71.    1.64108  1.63630  1.63151  1.62679  1.62214
   72.    1.65295  1.64810  1.64330  1.63854  1.63385
   73.    1.66488  1.66000  1.65514  1.65034  1.64561
   74.    1.67685  1.67190  1.66702  1.66217  1.65739
   75.    1.68883  1.68380  1.67891  1.67401  1.66918
   76.    1.70080  1.69580  1.69083  1.68584  1.68095
   77.    1.71275  1.70760  1.70263  1.69763  1.69269
   78.    1.72465  1.71950  1.71440  1.70934  1.70433
   79.    1.73647  1.73130  1.72607  1.72093  1.71585
   80.    1.74817  1.74290  1.73757  1.73235  1.72717
   81.    1.75966  1.75420  1.74885  1.74352  1.73827
   82.    1.77089  1.76530  1.75986  1.75442  1.74904
   83.    1.78156  1.77590  1.77038  1.76488  1.75943
   84.    1.79160  1.78600  1.78036  1.77481  1.76933
   85.    1.80093  1.79530  1.78967  1.78411  1.77861
   86.    1.80950  1.80390  1.79825  1.79271  1.78722
   87.    1.81728  1.81170  1.80609  1.80057  1.79507
   88.    1.82430  1.81870  1.81318  1.80768  1.80224
   89.    1.83057  1.82500  1.81952  1.81406  1.80864
   90.    1.83611  1.83060  1.82518  1.81976  1.81449
   91.    1.84103  1.83560  1.83019  1.82483  1.81950
   92.    1.84530  1.83990  1.83459  1.82929  1.82402
   93.    1.84898  1.84370  1.83837  1.83311  1.82791
   94.    1.85202  1.84670  1.84151  1.83630  1.83115
   95.    1.85437  1.84910  1.84394  1.83880  1.83366
   96.    1.85603  1.85080  1.84568  1.84057  1.83549
   97.    1.85692  1.85170  1.84655  1.84145  1.83638
   98.    1.85674  1.85150  1.84628  1.84115  1.83606
   99.    1.85510  1.84980  1.84451  1.83933  1.83421
  100.    1.85169  1.84630  1.84095  1.83569  1.83053
                                                                                
          25 C     30 C     40 C     50 C     60 C
    0.    0.99567  0.99224  0.98825  0.98809  0.98332
    1.    1.00378  1.00225  0.99863  0.99435  0.98948
    2.    1.01038  1.00875  1.00497  1.00055  0.99557
    3.    1.01688  1.01518  1.01128  1.00673  1.00165
    4.    1.02339  1.02162  1.01759  1.01295  1.00777
    5.    1.02996  1.02812  1.02398  1.01924  1.01395
    6.    1.03666  1.03475  1.03048  1.02564  1.02025
    7.    1.04343  1.04144  1.03705  1.03212  1.02652
    8.    1.05024  1.04819  1.04367  1.03861  1.03302
    9.    1.05707  1.05493  1.05027  1.04514  1.03950
   10.    1.06397  1.06174  1.05695  1.05172  1.04605
   11.    1.07093  1.06862  1.06369  1.05838  1.05265
   12.    1.07796  1.07556  1.07052  1.06511  1.05935
   13.    1.08505  1.08258  1.07740  1.07190  1.06610
   14.    1.09221  1.08966  1.08435  1.07877  1.07291
   15.    1.09943  1.09680  1.09138  1.08571  1.07981
   16.    1.10671  1.10402  1.09848  1.09273  1.08677
   17.    1.11408  1.11151  1.10564  1.09981  1.09381
   18.    1.12148  1.11865  1.11288  1.10695  1.10090
   19.    1.12896  1.12606  1.12017  1.11417  1.10805
   20.    1.13649  1.13352  1.12752  1.12144  1.11528
   21.    1.14408  1.14105  1.13495  1.12878  1.12255
   22.    1.15172  1.14864  1.14243  1.13619  1.12990
   23.    1.15944  1.15630  1.15000  1.14367  1.13733
   24.    1.16721  1.16401  1.15761  1.15120  1.14479
   25.    1.17504  1.17180  1.16529  1.15881  1.15234
   26.    1.18292  1.17963  1.17303  1.16647  1.15914
   27.    1.19086  1.18750  1.18083  1.17419  1.16760
   28.    1.19885  1.19545  1.18869  1.18198  1.17532
   29.    1.20690  1.20346  1.19662  1.18983  1.18310
   30.    1.21500  1.21153  1.20460  1.19774  1.19094
   31.    1.22316  1.21964  1.21265  1.20571  1.19884
   32.    1.23136  1.22779  1.22072  1.21370  1.20673
   33.    1.23960  1.23604  1.22891  1.22185  1.21483
