
  Data: Real and imaginary indices of refraction of H2O-ice, amorphous
  nitric acid solutions, and nitric acid hydrates.
  
  Reference: O. B. Toon, M. A. Tolbert, B. G. Koehler, A. M. Middlebrook,
  and J. Jordan, The infrared optical constants of H2O-ice, amorphous 
  acid solutions, and nitric acid hydrates, J. Geophys. Res., accepted
  for publication, 1994.

  Format: wavenumber(cm-1), real index,imaginary index
   110 lines, BETA NAT film  at 196 K
   133 lines, NAD film at 184 K
   112 lines, ALPHA NAT film at 181 k
   135 lines, NAM film at 179 K
   173 lines, water ice film at 163 K
   120 lines, A NAT film at 153 K
   113 lines, A NAD film at 153 K
   124 lines, A NAM film at 153 K
  2x,f6.1,2x,f5.3,2x,e8.2


  BETA NAT film at 196 K 
   110    2x,f6.1,2x,f5.3,2x,e8.2
   cm-1   n      k
   482.0  1.950  2.22E-01
   494.0  1.832  2.54E-01
   505.0  1.792  1.99E-01
   517.0  1.823  1.57E-01
   525.0  1.854  1.50E-01
   528.0  1.869  1.53E-01
   555.0  1.936  2.12E-01
   571.0  1.945  2.73E-01
   582.0  1.930  3.19E-01
   602.0  1.850  3.71E-01
   617.0  1.796  3.06E-01
   629.0  1.825  2.67E-01
   636.0  1.854  2.63E-01
   648.0  1.898  2.82E-01
   671.0  1.950  4.03E-01
   687.0  1.906  5.25E-01
   702.0  1.772  6.16E-01
   717.0  1.652  5.52E-01
   721.0  1.646  5.59E-01
   729.0  1.572  6.00E-01
   733.0  1.508  5.81E-01
   741.0  1.443  4.56E-01
   748.0  1.465  3.74E-01
   779.0  1.529  2.41E-01
   806.0  1.618  2.18E-01
   814.0  1.648  2.65E-01
   822.0  1.601  3.27E-01
   829.0  1.537  2.93E-01
   837.0  1.529  2.42E-01
   845.0  1.538  2.14E-01
   872.0  1.582  1.66E-01
   891.0  1.601  1.65E-01
   906.0  1.603  1.50E-01
   941.0  1.646  1.20E-01
   976.0  1.687  1.19E-01
  1034.0  1.747  1.30E-01
  1049.0  1.758  1.44E-01
  1057.0  1.761  1.41E-01
  1065.0  1.772  1.41E-01
  1111.0  1.830  1.78E-01
  1169.0  1.891  2.73E-01
  1184.0  1.897  3.18E-01
  1196.0  1.888  3.51E-01
  1219.0  1.868  3.87E-01
  1277.0  1.874  5.29E-01
  1300.0  1.851  6.55E-01
  1323.0  1.658  7.98E-01
  1354.0  1.476  6.92E-01
  1362.0  1.458  7.00E-01
  1373.0  1.390  7.10E-01
  1400.0  1.182  6.25E-01
  1415.0  1.095  4.24E-01
  1423.0  1.122  3.28E-01
  1435.0  1.196  2.42E-01
  1454.0  1.300  1.90E-01
  1469.0  1.360  1.83E-01
  1504.0  1.433  1.96E-01
  1539.0  1.462  2.12E-01
  1589.0  1.486  2.15E-01
  1608.0  1.495  2.25E-01
  1631.0  1.489  2.35E-01
  1662.0  1.485  2.32E-01
  1682.0  1.482  2.21E-01
  1701.0  1.499  2.10E-01
  1712.0  1.511  2.13E-01
  1743.0  1.529  2.41E-01
  1786.0  1.513  2.79E-01
  1828.0  1.475  2.96E-01
  1878.0  1.428  2.80E-01
  1909.0  1.408  2.57E-01
  1940.0  1.404  2.31E-01
  1979.0  1.413  2.10E-01
  2087.0  1.424  1.88E-01
  2148.0  1.424  1.84E-01
  2349.0  1.426  1.54E-01
  2480.0  1.439  1.36E-01
  2519.0  1.448  1.37E-01
  2600.0  1.452  1.47E-01
  2700.0  1.450  1.59E-01
  2750.0  1.440  1.66E-01
  2796.0  1.429  1.62E-01
  2920.0  1.416  1.41E-01
  2989.0  1.424  1.29E-01
  3047.0  1.438  1.26E-01
  3089.0  1.451  1.29E-01
  3128.0  1.464  1.44E-01
  3170.0  1.469  1.74E-01
  3201.0  1.455  2.02E-01
  3228.0  1.429  2.12E-01
  3267.0  1.411  2.08E-01
  3313.0  1.401  2.21E-01
  3363.0  1.346  2.62E-01
  3379.0  1.311  2.59E-01
  3448.0  1.224  1.61E-01
  3494.0  1.234  8.49E-02
  3533.0  1.260  4.74E-02
  3568.0  1.285  2.80E-02
  3595.0  1.303  2.06E-02
  3618.0  1.316  1.57E-02
  3626.0  1.319  1.52E-02
  3629.0  1.321  1.35E-02
  3656.0  1.333  1.25E-02
  3737.0  1.357  1.01E-02
  3853.0  1.379  9.04E-03
  3996.0  1.396  9.44E-03
  4108.0  1.405  0.00E+00
  4420.0  1.424  0.00E+00
  4891.0  1.440  0.00E+00
  5805.0  1.454  0.00E+00
  6364.0  1.460  0.00E+00

  NAD film at 184 K 
   133    2x,f6.1,2x,f5.3,2x,e8.2
   cm-1   n      k
   482.0  2.032  2.13E-01
   501.0  1.927  2.64E-01
   517.0  1.883  2.50E-01
   532.0  1.888  2.26E-01
   548.0  1.897  2.52E-01
   559.0  1.862  2.78E-01
   571.0  1.810  2.52E-01
   590.0  1.815  1.60E-01
   602.0  1.856  1.34E-01
   613.0  1.902  1.34E-01
   621.0  1.930  1.55E-01
   636.0  1.932  2.17E-01
   656.0  1.921  2.23E-01
   671.0  1.881  2.84E-01
   679.0  1.832  2.59E-01
   690.0  1.828  1.78E-01
   698.0  1.861  1.43E-01
   706.0  1.908  1.28E-01
   710.0  1.936  1.29E-01
   714.0  1.964  1.39E-01
   729.0  2.044  2.13E-01
   733.0  2.075  2.45E-01
   737.0  2.102  3.12E-01
   744.0  2.018  5.30E-01
   748.0  1.891  5.64E-01
   756.0  1.736  4.13E-01
   760.0  1.732  3.43E-01
   768.0  1.765  2.72E-01
   775.0  1.804  2.53E-01
   787.0  1.837  2.73E-01
   802.0  1.789  3.26E-01
   810.0  1.740  2.99E-01
