    Data: Real and imaginary indices of refraction of ice at -7 C 
    for the 4.43e-2 to 167 micron range, and indices of ice at 
    -1, -5, -20, and -60 C for the 167 to 8.6e6 micron range.

    Reference:S. G. Warren, Optical constants of ice from the ultraviolet 
    to the microwave, Applied Optics, vol. 23, pgs. 1206-1225, 1984.
    The values here were generated from a program of S. Warren.

    Format: wavenumber (cm-1), wavelength (microns), real and
    imaginary indices of refraction.
    468 values for ice at  -7 C, 4.43e-2 to 167 microns
    62  values for ice at  -1 C, 167 to 8.6e6 microns
    62  values for ice at  -5 C, 167 to 8.6e6 microns
    62  values for ice at -20 C, 167 to 8.6e6 microns
    62  values for ice at -60 C, 167 to 8.6e6 microns
    2x,2(1x,e10.3),2x,1(1x,f6.4),1(1x,e10.3)


    ICE
    Temperature = 266.16 K (-7 C)
    cm-1       microns     real    imaginary

    5.988E+01  1.670E+02   1.8296  8.300E-02
    6.667E+01  1.500E+02   1.8227  9.620E-02
    8.333E+01  1.200E+02   1.8191  1.200E-01
    1.000E+02  1.000E+02   1.8322  1.390E-01
    1.051E+02  9.517E+01   1.8425  1.490E-01
    1.101E+02  9.080E+01   1.8536  1.620E-01
    1.152E+02  8.680E+01   1.8670  1.771E-01
    1.176E+02  8.500E+01   1.8750  1.865E-01
    1.205E+02  8.297E+01   1.8874  1.981E-01
    1.250E+02  8.000E+01   1.9033  2.350E-01
    1.311E+02  7.629E+01   1.9043  2.935E-01
    1.333E+02  7.500E+01   1.8992  3.118E-01
    1.370E+02  7.300E+01   1.8911  3.433E-01
    1.418E+02  7.053E+01   1.8741  3.880E-01
    1.449E+02  6.900E+01   1.8568  4.193E-01
    1.479E+02  6.760E+01   1.8330  4.508E-01
    1.503E+02  6.655E+01   1.8034  4.766E-01
    1.525E+02  6.558E+01   1.7686  4.873E-01
    1.546E+02  6.467E+01   1.7371  4.899E-01
    1.568E+02  6.378E+01   1.7066  4.890E-01
    1.600E+02  6.250E+01   1.6662  4.779E-01
    1.633E+02  6.125E+01   1.6141  4.671E-01
    1.639E+02  6.100E+01   1.5992  4.509E-01
    1.667E+02  6.000E+01   1.5851  3.902E-01
    1.687E+02  5.929E+01   1.5960  3.517E-01
    1.712E+02  5.840E+01   1.6240  3.170E-01
    1.740E+02  5.746E+01   1.6849  2.835E-01
    1.754E+02  5.700E+01   1.7233  3.056E-01
    1.773E+02  5.640E+01   1.7501  3.376E-01
    1.794E+02  5.574E+01   1.7648  3.771E-01
    1.818E+02  5.500E+01   1.7674  4.203E-01
    1.844E+02  5.424E+01   1.7486  4.707E-01
    1.869E+02  5.350E+01   1.7206  4.883E-01
    1.896E+02  5.275E+01   1.6981  5.070E-01
    1.950E+02  5.128E+01   1.6571  5.292E-01
    1.999E+02  5.003E+01   1.6296  5.433E-01
    2.050E+02  4.878E+01   1.6188  5.654E-01
    2.083E+02  4.800E+01   1.6038  6.250E-01
    2.111E+02  4.736E+01   1.5532  6.790E-01
    2.141E+02  4.671E+01   1.4649  7.091E-01
    2.167E+02  4.615E+01   1.3866  6.839E-01
    2.198E+02  4.550E+01   1.3278  6.362E-01
    2.243E+02  4.458E+01   1.2817  5.731E-01
    2.295E+02  4.358E+01   1.2417  5.247E-01
    2.339E+02  4.276E+01   1.2217  4.642E-01
    2.431E+02  4.114E+01   1.2086  3.906E-01
    2.525E+02  3.960E+01   1.1997  3.280E-01
    2.615E+02  3.824E+01   1.1964  2.746E-01
    2.703E+02  3.700E+01   1.2023  2.229E-01
    2.806E+02  3.564E+01   1.2166  1.761E-01
    2.900E+02  3.448E+01   1.2366  1.350E-01
    3.000E+02  3.333E+01   1.2642  1.060E-01
    3.226E+02  3.100E+01   1.3104  7.550E-02
    3.500E+02  2.857E+01   1.3489  5.300E-02
    3.846E+02  2.600E+01   1.3895  3.400E-02
    4.000E+02  2.500E+01   1.4068  3.000E-02
    4.065E+02  2.460E+01   1.4138  2.890E-02
